              yp,          delta_y,             gr_y,            AR_xy
        0.000000,         0.000000,         0.000000,         0.000000
        0.002778,         0.002778,         0.000000,        22.502059
        0.005556,         0.002778,         1.000263,        22.496138
        0.008335,         0.002780,         1.000526,        22.484300
        0.011117,         0.002782,         1.000790,        22.466553
        0.013902,         0.002785,         1.001054,        22.442906
        0.016691,         0.002789,         1.001318,        22.413375
        0.019484,         0.002793,         1.001582,        22.377976
        0.022282,         0.002798,         1.001846,        22.336731
        0.025086,         0.002804,         1.002112,        22.289666
        0.027896,         0.002811,         1.002377,        22.236807
        0.030715,         0.002818,         1.002643,        22.178188
        0.033541,         0.002826,         1.002910,        22.113844
        0.036376,         0.002835,         1.003177,        22.043812
        0.039221,         0.002845,         1.003445,        21.968136
        0.042077,         0.002856,         1.003713,        21.886862
        0.044944,         0.002867,         1.003983,        21.800037
        0.047823,         0.002879,         1.004253,        21.707714
        0.050715,         0.002892,         1.004524,        21.609950
        0.053621,         0.002906,         1.004796,        21.506802
        0.056542,         0.002921,         1.005069,        21.398333
        0.059478,         0.002936,         1.005343,        21.284608
        0.062431,         0.002953,         1.005618,        21.165696
        0.065401,         0.002970,         1.005894,        21.041669
        0.068390,         0.002989,         1.006172,        20.912601
        0.071398,         0.003008,         1.006450,        20.778569
        0.074426,         0.003028,         1.006730,        20.639655
        0.077475,         0.003049,         1.007012,        20.495943
        0.080547,         0.003072,         1.007294,        20.347518
        0.083642,         0.003095,         1.007579,        20.194470
        0.086761,         0.003119,         1.007864,        20.036892
        0.089906,         0.003145,         1.008152,        19.874879
        0.093077,         0.003171,         1.008441,        19.708527
        0.096276,         0.003199,         1.008731,        19.537937
        0.099504,         0.003228,         1.009024,        19.363213
        0.102762,         0.003258,         1.009318,        19.184458
        0.106051,         0.003289,         1.009614,        19.001782
        0.109373,         0.003322,         1.009912,        18.815293
        0.112728,         0.003356,         1.010211,        18.625105
        0.116119,         0.003391,         1.010513,        18.431331
        0.119547,         0.003428,         1.010817,        18.234089
        0.123013,         0.003466,         1.011123,        18.033497
        0.126518,         0.003505,         1.011432,        17.829677
        0.130065,         0.003547,         1.011742,        17.622750
        0.133654,         0.003589,         1.012055,        17.412842
        0.137288,         0.003634,         1.012370,        17.200079
        0.140967,         0.003680,         1.012687,        16.984589
        0.144695,         0.003728,         1.013007,        16.766502
        0.148472,         0.003777,         1.013330,        16.545950
        0.152301,         0.003829,         1.013655,        16.323064
        0.156184,         0.003882,         1.013982,        16.097981
        0.160122,         0.003938,         1.014312,        15.870834
        0.164118,         0.003996,         1.014645,        15.641762
        0.168173,         0.004056,         1.014980,        15.410901
        0.172291,         0.004118,         1.015318,        15.178391
        0.176473,         0.004182,         1.015659,        14.944372
        0.180722,         0.004249,         1.016003,        14.708986
        0.185041,         0.004319,         1.016349,        14.472373
        0.189431,         0.004391,         1.016698,        14.234676
        0.193897,         0.004466,         1.017050,        13.996039
        0.198440,         0.004543,         1.017405,        13.756605
        0.203064,         0.004624,         1.017762,        13.516519
        0.207772,         0.004708,         1.018123,        13.275925
        0.212567,         0.004795,         1.018485,        13.034968
        0.217452,         0.004885,         1.018851,        12.793793
        0.222431,         0.004979,         1.019219,        12.552546
        0.227508,         0.005077,         1.019590,        12.311372
        0.232686,         0.005178,         1.019963,        12.070416
        0.237969,         0.005283,         1.020338,        11.829823
        0.243362,         0.005393,         1.020715,        11.589738
        0.248868,         0.005506,         1.021095,        11.350306
        0.254493,         0.005625,         1.021476,        11.111671
