              yp,          delta_y,             gr_y,            AR_xy
        0.000000,         0.000000,         0.000000,         0.000000
        0.010812,         0.010812,         0.000000,       191.625829
        0.021624,         0.010812,         1.000015,       191.623004
        0.032437,         0.010813,         1.000029,       191.617354
        0.043250,         0.010813,         1.000044,       191.608879
        0.054064,         0.010814,         1.000059,       191.597580
        0.064878,         0.010814,         1.000074,       191.583456
        0.075694,         0.010815,         1.000088,       191.566509
        0.086510,         0.010817,         1.000103,       191.546738
        0.097328,         0.010818,         1.000118,       191.524144
        0.108147,         0.010819,         1.000133,       191.498729
        0.118968,         0.010821,         1.000147,       191.470492
        0.129791,         0.010823,         1.000162,       191.439435
        0.140615,         0.010825,         1.000177,       191.405558
        0.151442,         0.010827,         1.000192,       191.368863
        0.162271,         0.010829,         1.000207,       191.329350
        0.173102,         0.010831,         1.000221,       191.287021
        0.183936,         0.010834,         1.000236,       191.241877
        0.194772,         0.010837,         1.000251,       191.193919
        0.205612,         0.010839,         1.000266,       191.143150
        0.216454,         0.010842,         1.000280,       191.089569
        0.227300,         0.010846,         1.000295,       191.033179
        0.238149,         0.010849,         1.000310,       190.973982
        0.249001,         0.010853,         1.000325,       190.911980
        0.259857,         0.010856,         1.000340,       190.847173
        0.270717,         0.010860,         1.000354,       190.779565
        0.281581,         0.010864,         1.000369,       190.709156
        0.292450,         0.010868,         1.000384,       190.635950
        0.303322,         0.010873,         1.000399,       190.559948
        0.314199,         0.010877,         1.000414,       190.481153
        0.325081,         0.010882,         1.000428,       190.399567
        0.335968,         0.010887,         1.000443,       190.315192
        0.346859,         0.010892,         1.000458,       190.228031
        0.357756,         0.010897,         1.000473,       190.138087
        0.368658,         0.010902,         1.000488,       190.045362
        0.379565,         0.010907,         1.000503,       189.949859
        0.390478,         0.010913,         1.000518,       189.851580
        0.401397,         0.010919,         1.000533,       189.750530
        0.412322,         0.010925,         1.000547,       189.646710
        0.423253,         0.010931,         1.000562,       189.540123
        0.434191,         0.010937,         1.000577,       189.430774
        0.445135,         0.010944,         1.000592,       189.318665
        0.456085,         0.010950,         1.000607,       189.203800
        0.467042,         0.010957,         1.000622,       189.086181
        0.478007,         0.010964,         1.000637,       188.965814
        0.488978,         0.010971,         1.000652,       188.842700
        0.499957,         0.010979,         1.000667,       188.716844
        0.510943,         0.010986,         1.000682,       188.588249
        0.521937,         0.010994,         1.000697,       188.456920
        0.532939,         0.011002,         1.000712,       188.322859
        0.543948,         0.011010,         1.000727,       188.186072
        0.554966,         0.011018,         1.000742,       188.046563
        0.565992,         0.011026,         1.000757,       187.904334
        0.577027,         0.011035,         1.000772,       187.759392
        0.588071,         0.011043,         1.000787,       187.611739
        0.599123,         0.011052,         1.000802,       187.461381
        0.610184,         0.011061,         1.000817,       187.308321
        0.621255,         0.011071,         1.000832,       187.152565
        0.632335,         0.011080,         1.000847,       186.994117
        0.643424,         0.011089,         1.000862,       186.832981
        0.654523,         0.011099,         1.000878,       186.669163
        0.665632,         0.011109,         1.000893,       186.502667
        0.676751,         0.011119,         1.000908,       186.333499
        0.687881,         0.011129,         1.000923,       186.161663
        0.699021,         0.011140,         1.000938,       185.987165
        0.710171,         0.011151,         1.000953,       185.810009
        0.721333,         0.011161,         1.000969,       185.630201
        0.732505,         0.011172,         1.000984,       185.447747
        0.743688,         0.011183,         1.000999,       185.262651
        0.754883,         0.011195,         1.001014,       185.074920
        0.766089,         0.011206,         1.001030,       184.884558
        0.777307,         0.011218,         1.001045,       184.691571
        0.788537,         0.011230,         1.001060,       184.495966
        0.799779,         0.011242,         1.001076,       184.297748
        0.811034,         0.011254,         1.001091,       184.096923
        0.822300,         0.011267,         1.001106,       183.893497
        0.833580,         0.011279,         1.001122,       183.687476
        0.844872,         0.011292,         1.001137,       183.478865
        0.856177,         0.011305,         1.001152,       183.267673
        0.867495,         0.011318,         1.001168,       183.053903
        0.878827,         0.011332,         1.001183,       182.837564
        0.890173,         0.011345,         1.001199,       182.618661
        0.901532,         0.011359,         1.001214,       182.397201
        0.912905,         0.011373,         1.001230,       182.173190
        0.924292,         0.011387,         1.001245,       181.946635
        0.935694,         0.011402,         1.001261,       181.717544
        0.947110,         0.011416,         1.001276,       181.485922
        0.958541,         0.011431,         1.001292,       181.251776
        0.969987,         0.011446,         1.001307,       181.015114
        0.981448,         0.011461,         1.001323,       180.775943
        0.992924,         0.011476,         1.001339,       180.534269
        1.004416,         0.011492,         1.001354,       180.290100
        1.015924,         0.011508,         1.001370,       180.043444
        1.027447,         0.011524,         1.001386,       179.794307
        1.038987,         0.011540,         1.001401,       179.542696
        1.050543,         0.011556,         1.001417,       179.288621
        1.062116,         0.011573,         1.001433,       179.032087
        1.073705,         0.011589,         1.001449,       178.773102
        1.085311,         0.011606,         1.001464,       178.511675
        1.096935,         0.011624,         1.001480,       178.247813
        1.108576,         0.011641,         1.001496,       177.981524
        1.120235,         0.011659,         1.001512,       177.712816
        1.131911,         0.011676,         1.001528,       177.441696
        1.143605,         0.011694,         1.001544,       177.168173
        1.155318,         0.011713,         1.001560,       176.892256
        1.167049,         0.011731,         1.001576,       176.613951
        1.178799,         0.011750,         1.001592,       176.333269
        1.190567,         0.011769,         1.001608,       176.050215
        1.202355,         0.011788,         1.001624,       175.764801
        1.214162,         0.011807,         1.001640,       175.477033
        1.225989,         0.011827,         1.001656,       175.186920
        1.237835,         0.011846,         1.001672,       174.894471
        1.249702,         0.011866,         1.001688,       174.599695
        1.261589,         0.011887,         1.001704,       174.302601
        1.273496,         0.011907,         1.001721,       174.003196
        1.285423,         0.011928,         1.001737,       173.701491
        1.297372,         0.011949,         1.001753,       173.397494
        1.309342,         0.011970,         1.001769,       173.091214
        1.321333,         0.011991,         1.001786,       172.782660
        1.333346,         0.012013,         1.001802,       172.471842
        1.345381,         0.012035,         1.001819,       172.158769
        1.357437,         0.012057,         1.001835,       171.843449
        1.369517,         0.012079,         1.001851,       171.525893
        1.381618,         0.012102,         1.001868,       171.206110
        1.393743,         0.012124,         1.001884,       170.884109
        1.405890,         0.012147,         1.001901,       170.559901
        1.418061,         0.012171,         1.001917,       170.233493
        1.430255,         0.012194,         1.001934,       169.904898
        1.442473,         0.012218,         1.001951,       169.574123
        1.454715,         0.012242,         1.001967,       169.241179
        1.466982,         0.012266,         1.001984,       168.906076
        1.479273,         0.012291,         1.002001,       168.568824
        1.491589,         0.012316,         1.002017,       168.229432
        1.503929,         0.012341,         1.002034,       167.887912
        1.516296,         0.012366,         1.002051,       167.544272
        1.528687,         0.012392,         1.002068,       167.198524
        1.541105,         0.012418,         1.002085,       166.850678
        1.553548,         0.012444,         1.002102,       166.500743
        1.566018,         0.012470,         1.002119,       166.148731
        1.578515,         0.012497,         1.002136,       165.794651
        1.591039,         0.012524,         1.002153,       165.438515
        1.603589,         0.012551,         1.002170,       165.080333
        1.616168,         0.012578,         1.002187,       164.720115
        1.628773,         0.012606,         1.002204,       164.357873
        1.641407,         0.012634,         1.002221,       163.993617
        1.654069,         0.012662,         1.002238,       163.627358
        1.666760,         0.012691,         1.002256,       163.259106
        1.679480,         0.012720,         1.002273,       162.888874
        1.692228,         0.012749,         1.002290,       162.516671
        1.705006,         0.012778,         1.002308,       162.142509
        1.717814,         0.012808,         1.002325,       161.766399
        1.730652,         0.012838,         1.002342,       161.388352
        1.743520,         0.012868,         1.002360,       161.008380
        1.756419,         0.012899,         1.002377,       160.626493
        1.769349,         0.012930,         1.002395,       160.242704
        1.782309,         0.012961,         1.002413,       159.857023
        1.795302,         0.012992,         1.002430,       159.469462
        1.808326,         0.013024,         1.002448,       159.080032
        1.821382,         0.013056,         1.002466,       158.688746
        1.834471,         0.013089,         1.002484,       158.295614
        1.847592,         0.013121,         1.002501,       157.900649
        1.860746,         0.013154,         1.002519,       157.503862
        1.873934,         0.013188,         1.002537,       157.105265
        1.887156,         0.013222,         1.002555,       156.704870
        1.900411,         0.013256,         1.002573,       156.302688
        1.913701,         0.013290,         1.002591,       155.898732
        1.927026,         0.013325,         1.002609,       155.493014
        1.940385,         0.013360,         1.002627,       155.085546
        1.953780,         0.013395,         1.002646,       154.676340
        1.967211,         0.013431,         1.002664,       154.265408
        1.980677,         0.013467,         1.002682,       153.852762
        1.994180,         0.013503,         1.002700,       153.438414
        2.007720,         0.013540,         1.002719,       153.022378
        2.021297,         0.013577,         1.002737,       152.604665
        2.034911,         0.013614,         1.002756,       152.185287
        2.048563,         0.013652,         1.002774,       151.764258
        2.062253,         0.013690,         1.002793,       151.341590
        2.075982,         0.013729,         1.002811,       150.917295
        2.089749,         0.013767,         1.002830,       150.491386
        2.103556,         0.013807,         1.002849,       150.063875
        2.117402,         0.013846,         1.002868,       149.634776
        2.131288,         0.013886,         1.002886,       149.204100
        2.145214,         0.013927,         1.002905,       148.771862
        2.159182,         0.013967,         1.002924,       148.338073
        2.173190,         0.014008,         1.002943,       147.902747
        2.187240,         0.014050,         1.002962,       147.465897
        2.201332,         0.014092,         1.002981,       147.027535
        2.215466,         0.014134,         1.003001,       146.587675
        2.229642,         0.014177,         1.003020,       146.146329
        2.243862,         0.014220,         1.003039,       145.703512
        2.258126,         0.014263,         1.003059,       145.259235
        2.272433,         0.014307,         1.003078,       144.813513
        2.286784,         0.014352,         1.003097,       144.366358
        2.301180,         0.014396,         1.003117,       143.917784
        2.315622,         0.014441,         1.003136,       143.467804
        2.330109,         0.014487,         1.003156,       143.016432
        2.344642,         0.014533,         1.003176,       142.563680
        2.359221,         0.014579,         1.003196,       142.109563
        2.373848,         0.014626,         1.003215,       141.654094
        2.388521,         0.014674,         1.003235,       141.197286
        2.403243,         0.014721,         1.003255,       140.739154
        2.418012,         0.014770,         1.003275,       140.279710
        2.432830,         0.014818,         1.003295,       139.818968
        2.447698,         0.014867,         1.003315,       139.356943
        2.462615,         0.014917,         1.003336,       138.893647
        2.477582,         0.014967,         1.003356,       138.429095
        2.492599,         0.015018,         1.003376,       137.963301
        2.507668,         0.015069,         1.003397,       137.496277
        2.522788,         0.015120,         1.003417,       137.028039
        2.537960,         0.015172,         1.003438,       136.558600
        2.553185,         0.015225,         1.003458,       136.087974
        2.568462,         0.015277,         1.003479,       135.616175
        2.583793,         0.015331,         1.003500,       135.143217
        2.599178,         0.015385,         1.003521,       134.669114
        2.614617,         0.015439,         1.003541,       134.193881
        2.630112,         0.015494,         1.003562,       133.717531
        2.645662,         0.015550,         1.003583,       133.240078
        2.661268,         0.015606,         1.003605,       132.761538
        2.676930,         0.015663,         1.003626,       132.281923
        2.692650,         0.015720,         1.003647,       131.801249
        2.708427,         0.015777,         1.003668,       131.319529
        2.724263,         0.015836,         1.003690,       130.836778
        2.740157,         0.015894,         1.003711,       130.353010
        2.756111,         0.015954,         1.003733,       129.868240
        2.772125,         0.016014,         1.003754,       129.382482
        2.788199,         0.016074,         1.003776,       128.895751
        2.804334,         0.016135,         1.003798,       128.408060
        2.820530,         0.016197,         1.003820,       127.919426
        2.836789,         0.016259,         1.003842,       127.429861
        2.853111,         0.016322,         1.003864,       126.939381
        2.869496,         0.016385,         1.003886,       126.448000
        2.885946,         0.016449,         1.003908,       125.955732
        2.902459,         0.016514,         1.003931,       125.462594
        2.919039,         0.016579,         1.003953,       124.968598
        2.935684,         0.016645,         1.003975,       124.473760
        2.952395,         0.016712,         1.003998,       123.978095
        2.969174,         0.016779,         1.004021,       123.481617
        2.986021,         0.016847,         1.004043,       122.984342
        3.002936,         0.016915,         1.004066,       122.486283
        3.019920,         0.016984,         1.004089,       121.987455
        3.036974,         0.017054,         1.004112,       121.487875
        3.054099,         0.017125,         1.004135,       120.987555
        3.071295,         0.017196,         1.004158,       120.486512
        3.088563,         0.017268,         1.004182,       119.984760
        3.105903,         0.017340,         1.004205,       119.482314
        3.123317,         0.017414,         1.004229,       118.979190
        3.140805,         0.017488,         1.004252,       118.475401
        3.158367,         0.017563,         1.004276,       117.970963
        3.176006,         0.017638,         1.004300,       117.465891
        3.193720,         0.017714,         1.004324,       116.960200
        3.211511,         0.017791,         1.004348,       116.453906
        3.229380,         0.017869,         1.004372,       115.947022
        3.247328,         0.017948,         1.004396,       115.439565
        3.265355,         0.018027,         1.004420,       114.931549
        3.283462,         0.018107,         1.004445,       114.422989
        3.301650,         0.018188,         1.004469,       113.913901
        3.319920,         0.018270,         1.004494,       113.404299
