              yp,          delta_y,             gr_y,            AR_xy
        0.000000,         0.000000,         0.000000,         0.000000
        0.015940,         0.015940,         0.000000,        21.663432
        0.031880,         0.015940,         1.000021,        21.662985
        0.047821,         0.015941,         1.000041,        21.662092
        0.063763,         0.015942,         1.000062,        21.660753
        0.079706,         0.015943,         1.000082,        21.658968
        0.095651,         0.015945,         1.000103,        21.656736
        0.111598,         0.015947,         1.000124,        21.654058
        0.127547,         0.015949,         1.000144,        21.650934
        0.143498,         0.015952,         1.000165,        21.647364
        0.159453,         0.015955,         1.000186,        21.643348
        0.175411,         0.015958,         1.000206,        21.638887
        0.191373,         0.015962,         1.000227,        21.633981
        0.207338,         0.015966,         1.000247,        21.628629
        0.223308,         0.015970,         1.000268,        21.622832
        0.239282,         0.015974,         1.000289,        21.616591
        0.255262,         0.015979,         1.000309,        21.609905
        0.271246,         0.015985,         1.000330,        21.602774
        0.287237,         0.015990,         1.000351,        21.595200
        0.303233,         0.015996,         1.000371,        21.587183
        0.319235,         0.016002,         1.000392,        21.578722
        0.335244,         0.016009,         1.000413,        21.569818
        0.351260,         0.016016,         1.000433,        21.560472
        0.367284,         0.016023,         1.000454,        21.550683
        0.383314,         0.016031,         1.000475,        21.540453
        0.399353,         0.016039,         1.000496,        21.529781
        0.415400,         0.016047,         1.000516,        21.518669
        0.431456,         0.016056,         1.000537,        21.507116
        0.447521,         0.016065,         1.000558,        21.495124
        0.463595,         0.016074,         1.000579,        21.482692
        0.479678,         0.016084,         1.000599,        21.469821
        0.495772,         0.016094,         1.000620,        21.456512
        0.511876,         0.016104,         1.000641,        21.442765
        0.527990,         0.016115,         1.000662,        21.428581
        0.544116,         0.016126,         1.000683,        21.413960
        0.560253,         0.016137,         1.000704,        21.398903
        0.576402,         0.016149,         1.000724,        21.383411
        0.592562,         0.016161,         1.000745,        21.367484
        0.608735,         0.016173,         1.000766,        21.351123
        0.624921,         0.016186,         1.000787,        21.334329
        0.641120,         0.016199,         1.000808,        21.317102
        0.657332,         0.016212,         1.000829,        21.299443
        0.673558,         0.016226,         1.000850,        21.281353
        0.689798,         0.016240,         1.000871,        21.262832
        0.706053,         0.016255,         1.000892,        21.243881
        0.722323,         0.016270,         1.000913,        21.224502
        0.738607,         0.016285,         1.000934,        21.204695
        0.754908,         0.016300,         1.000955,        21.184460
        0.771224,         0.016316,         1.000976,        21.163799
        0.787556,         0.016332,         1.000997,        21.142713
        0.803905,         0.016349,         1.001018,        21.121201
        0.820271,         0.016366,         1.001040,        21.099266
        0.836655,         0.016383,         1.001061,        21.076909
        0.853056,         0.016401,         1.001082,        21.054129
        0.869475,         0.016419,         1.001103,        21.030928
        0.885913,         0.016438,         1.001124,        21.007307
        0.902370,         0.016457,         1.001146,        20.983267
        0.918845,         0.016476,         1.001167,        20.958810
        0.935341,         0.016495,         1.001188,        20.933935
        0.951856,         0.016515,         1.001210,        20.908644
        0.968392,         0.016536,         1.001231,        20.882939
        0.984948,         0.016556,         1.001252,        20.856819
        1.001525,         0.016577,         1.001274,        20.830287
        1.018124,         0.016599,         1.001295,        20.803343
        1.034745,         0.016621,         1.001317,        20.775989
        1.051388,         0.016643,         1.001338,        20.748225
        1.068054,         0.016666,         1.001360,        20.720054
        1.084742,         0.016689,         1.001381,        20.691475
        1.101454,         0.016712,         1.001403,        20.662490
        1.118190,         0.016736,         1.001424,        20.633101
        1.134950,         0.016760,         1.001446,        20.603308
        1.151735,         0.016785,         1.001468,        20.573114
        1.168545,         0.016810,         1.001489,        20.542518
        1.185380,         0.016835,         1.001511,        20.511523
        1.202241,         0.016861,         1.001533,        20.480129
        1.219128,         0.016887,         1.001555,        20.448339
        1.236041,         0.016914,         1.001577,        20.416153
        1.252982,         0.016941,         1.001598,        20.383572
        1.269950,         0.016968,         1.001620,        20.350599
        1.286946,         0.016996,         1.001642,        20.317234
        1.303971,         0.017024,         1.001664,        20.283479
        1.321024,         0.017053,         1.001686,        20.249335
        1.338106,         0.017082,         1.001708,        20.214804
        1.355217,         0.017112,         1.001730,        20.179886
        1.372359,         0.017142,         1.001752,        20.144585
        1.389531,         0.017172,         1.001775,        20.108900
        1.406734,         0.017203,         1.001797,        20.072834
        1.423968,         0.017234,         1.001819,        20.036388
        1.441234,         0.017266,         1.001841,        19.999564
        1.458533,         0.017298,         1.001864,        19.962363
        1.475863,         0.017331,         1.001886,        19.924786
        1.493227,         0.017364,         1.001908,        19.886835
        1.510625,         0.017397,         1.001931,        19.848513
        1.528056,         0.017431,         1.001953,        19.809820
        1.545522,         0.017466,         1.001976,        19.770757
        1.563023,         0.017501,         1.001998,        19.731328
        1.580559,         0.017536,         1.002021,        19.691532
        1.598131,         0.017572,         1.002044,        19.651373
        1.615739,         0.017608,         1.002066,        19.610852
        1.633384,         0.017645,         1.002089,        19.569969
        1.651066,         0.017682,         1.002112,        19.528728
        1.668786,         0.017720,         1.002135,        19.487129
        1.686545,         0.017758,         1.002158,        19.445175
        1.704342,         0.017797,         1.002180,        19.402868
        1.722178,         0.017836,         1.002203,        19.360208
        1.740054,         0.017876,         1.002227,        19.317198
        1.757970,         0.017916,         1.002250,        19.273840
        1.775927,         0.017957,         1.002273,        19.230135
        1.793925,         0.017998,         1.002296,        19.186085
        1.811964,         0.018040,         1.002319,        19.141693
        1.830047,         0.018082,         1.002342,        19.096959
        1.848171,         0.018125,         1.002366,        19.051887
        1.866340,         0.018168,         1.002389,        19.006477
        1.884552,         0.018212,         1.002413,        18.960731
        1.902808,         0.018256,         1.002436,        18.914652
        1.921109,         0.018301,         1.002460,        18.868242
        1.939456,         0.018347,         1.002483,        18.821501
        1.957849,         0.018393,         1.002507,        18.774434
        1.976288,         0.018439,         1.002531,        18.727040
        1.994774,         0.018486,         1.002555,        18.679323
        2.013308,         0.018534,         1.002578,        18.631284
        2.031890,         0.018582,         1.002602,        18.582925
        2.050521,         0.018631,         1.002626,        18.534248
        2.069202,         0.018680,         1.002650,        18.485256
        2.087932,         0.018730,         1.002674,        18.435951
        2.106713,         0.018781,         1.002699,        18.386333
        2.125545,         0.018832,         1.002723,        18.336406
        2.144429,         0.018884,         1.002747,        18.286172
        2.163365,         0.018936,         1.002771,        18.235633
        2.182354,         0.018989,         1.002796,        18.184790
        2.201397,         0.019043,         1.002820,        18.133646
        2.220494,         0.019097,         1.002845,        18.082203
        2.239645,         0.019152,         1.002870,        18.030464
        2.258852,         0.019207,         1.002894,        17.978430
        2.278115,         0.019263,         1.002919,        17.926103
        2.297435,         0.019320,         1.002944,        17.873486
        2.316812,         0.019377,         1.002969,        17.820581
        2.336248,         0.019435,         1.002994,        17.767390
        2.355742,         0.019494,         1.003019,        17.713916
        2.375295,         0.019553,         1.003044,        17.660160
        2.394908,         0.019613,         1.003069,        17.606125
        2.414582,         0.019674,         1.003094,        17.551813
        2.434317,         0.019735,         1.003120,        17.497227
        2.454114,         0.019797,         1.003145,        17.442368
        2.473975,         0.019860,         1.003171,        17.387239
        2.493898,         0.019924,         1.003196,        17.331842
        2.513886,         0.019988,         1.003222,        17.276180
        2.533939,         0.020053,         1.003248,        17.220255
        2.554057,         0.020118,         1.003273,        17.164069
        2.574242,         0.020185,         1.003299,        17.107625
        2.594493,         0.020252,         1.003325,        17.050924
        2.614813,         0.020320,         1.003351,        16.993970
        2.635202,         0.020388,         1.003378,        16.936765
        2.655659,         0.020458,         1.003404,        16.879311
        2.676187,         0.020528,         1.003430,        16.821610
        2.696786,         0.020599,         1.003457,        16.763665
        2.717457,         0.020671,         1.003483,        16.705478
        2.738200,         0.020743,         1.003510,        16.647052
        2.759016,         0.020817,         1.003536,        16.588389
        2.779907,         0.020891,         1.003563,        16.529492
        2.800873,         0.020966,         1.003590,        16.470363
        2.821914,         0.021042,         1.003617,        16.411005
        2.843032,         0.021118,         1.003644,        16.351419
        2.864228,         0.021196,         1.003671,        16.291609
        2.885502,         0.021274,         1.003698,        16.231578
        2.906856,         0.021353,         1.003726,        16.171326
        2.928289,         0.021434,         1.003753,        16.110858
        2.949804,         0.021515,         1.003781,        16.050175
