Re_tau  Re_theta            utau                  delta               delta_star         theta               Cf                     uu_peak               H
15.0    96.36308371229933   0.01510038430668946   1.8208081689713271  0.998121582505045  0.19272616742459867 0.00045604321241942666 nan                   5.178962441078717  
35.0    173.6737647779991   0.028518559976283477  2.4532801672764784  1.022815233378308  0.34734752955599824 0.0016266165262417557  0.010520181997372313  2.944645193491762  
55.0    215.57208853511946  0.038170991155105506  2.8778111831969673  1.04014996402351   0.43114417707023894 0.0029140491315262857  0.021699435934709438  2.41253394883275  
75.0    248.43137653101923  0.04499350354375925   3.3300370062086495  1.0579373364945845 0.4968627530620385  0.004048830722284552   0.025740967199527176  2.129234542083878  
95.0    277.5774084857525   0.04998952955502542   3.79756431298643    1.0786840925109176 0.555154816971505   0.00499790613026552    0.026748498638704266  1.9430329333993408  
115.0   305.00733946275557  0.05377790624832608   4.2760463956795745  1.1038509742058606 0.6100146789255112  0.005784126400907499   0.025816166879279234  1.8095482163645635  
135.0   331.583101480572    0.05643680354960824   4.783604801833185   1.1351503338150164 0.663166202961144   0.006370225589794147   0.023826712347168377  1.7117131855429109  
155.0   359.28328344242044  0.05785754728249175   5.357815471893537   1.177877532729521  0.7185665668848409  0.006694991555091536   0.02131714448346589   1.6392044759832116  
175.0   391.21032514369153  0.05763820647338948   6.0725945829221075  1.2418060893521483 0.7824206502873831  0.0066443256909381535  0.018762141394841392  1.58713358203932  
195.0   433.47203333938796  0.05529007497917089   7.054197284332519   1.347425880403351  0.866944066678776   0.006113984782404678   0.016987655658917217  1.5542246982152832  
215.0   485.18914718121226  0.05231345241195999   8.22003643975934    1.4918105755828373 0.9703782943624245  0.005473394606516805   0.016832425206626672  1.5373494896266344  
235.0   538.0443685745408   0.050500426838087246  9.306991497092836   1.6405728771265693 1.0760887371490817  0.005100586221658005   0.01719849853842287   1.5245702519598843  
255.0   591.1888512878731   0.04951128323393393   10.30075442585358   1.788166056521383  1.1823777025757463  0.004902734334941654   0.01729545275644187   1.512347579479856  
275.0   645.2352403364359   0.0489232245233309    11.242129561112762  1.937117701690928  1.290470480672872   0.004786963795520492   0.0172678395161297    1.501094159612922  
295.0   701.6773701083805   0.048447100025665386  12.178294435127622  2.0929681038708488 1.403354740216761   0.0046942430017936545  0.016961197231591313  1.491403451950838  
315.0   760.3584240276534   0.04797733130624028   13.13124768318398   2.2551693830095703 1.5207168480553068  0.004603648638537488   0.016643913631334717  1.4829646859594419  
335.0   820.8185599129902   0.04750389764823308   14.10415490638036   2.422601284862322  1.6416371198259803  0.004513240583547609   0.016376125610417513  1.4757227742993084  
355.0   881.3109543085193   0.04704515416876617   15.091916197946738  2.5900137086134145 1.7626219086170387  0.0044264930615259546  0.016095756931850114  1.4694096878924825  
375.0   942.3962265419797   0.046654431943243105  16.07570738846194   2.758317767016049  1.8847924530839595  0.0043532720398934055  0.01586059942692647   1.463459683586274  
395.0   1005.6217790277123  0.04623335612291784   17.087324631794086  2.9327996663057667 2.0112435580554244  0.004275046436777089   0.015663702878820573  1.458202142927608  
415.0   1067.7354149576488  0.0458871564137481    18.087962707108616  3.1032396428727402 2.1354708299152976  0.004211262247479566   0.015466927381753037  1.4531875591088401  
435.0   1128.8623585747705  0.04556878691351829   19.09207091575196   3.2709474591417607 2.257724717149541   0.004153028681539272   0.015369875923704535  1.4487804621599083  
455.0   1188.4269364410613  0.04527950637948327   20.097460874625007  3.435067802964872  2.3768538728821227  0.004100467395939332   0.015114316601672173  1.4452162340125612  
475.0   1250.0276122110229  0.0450037753029065    21.109590912307947  3.604141026908879  2.500055224422046   0.004050679583028995   0.014911770904674826  1.4416245656101743  
495.0   1315.293195532305   0.04468928843751315   22.15318711498291   3.7828292424432397 2.63058639106461    0.003994265002102493   0.014776370957267138  1.438017491192263  
515.0   1378.6831802654442  0.044416603106588744  23.189580212691066  3.9563016497151935 2.7573663605308885  0.003945669263056457   0.014720104825959146  1.4348117487563272  
 

