!------------------------------------!
Kozul et al. (2016)
Temporal TBL simulation with Re_D ~ 500.
Statistics at Re_theta = 1100, that corresponds to Re_tau ~ 425 (according to G. Boga data).
Pressure fluctuations RMS.
!------------------------------------!

y^+,         p',rms^+
2.087618,    2.334124
2.499168,    2.336836
2.973718,    2.342214
3.538378,    2.349535
4.210257,    2.359844
5.009715,    2.375382
5.960977,    2.396896
7.092868,    2.425581
8.439686,    2.462036
10.042242,   2.507156
11.949097,   2.557654
14.218032,   2.611738
16.917800,   2.664328
20.130209,   2.710045
23.952602,   2.741121
28.500803,   2.755165
33.912633,   2.747994
40.352079,   2.720503
48.014269,   2.676579
57.131381,   2.617714
66.913708,   2.548922
76.534880,   2.479030
86.850376,   2.408773
99.338138,   2.334910
113.621451,  2.263329
127.920635,  2.189610
142.885732,  2.117768
159.601557,  2.046865
176.869669,  1.975180
196.006107,  1.905060
217.213014,  1.832749
231.388616,  1.757809
248.444939,  1.687305
262.575550,  1.618007
275.325474,  1.547887
288.694497,  1.472289
302.712682,  1.394500
317.770089,  1.319903
340.210898,  1.244034
363.050501,  1.168801
386.743646,  1.090855
400.216756,  1.015962
417.225232,  0.940035
438.869584,  0.843766
457.460478,  0.743973
467.510781,  0.669666
482.524872,  0.603459
496.057213,  0.530326
514.015069,  0.452674
544.970241,  0.358259
583.294856,  0.275183
644.364460,  0.209692
763.091777,  0.143297
907.990237,  0.097793
1150.910977, 0.061723
1369.449866, 0.045289
1629.485663, 0.031740
1863.780901, 0.028961








