!------------------------------------!
Kozul et al. (2016)
Temporal TBL simulation with Re_D ~ 500.
Statistics at Re_theta = 1100, that corresponds to Re_tau ~ 425 (according to G. Boga data).
Streamwise velocity profile.
!------------------------------------!

y^+,    uwall^+ - umean^+
2.1115, 2.1485
2.5801, 2.5915
3.1134, 3.1100
3.6640, 3.6419
4.2053, 4.1529
4.7368, 4.6450
5.3354, 5.2074
6.0473, 5.7155
6.5713, 6.2545
7.3893, 6.7790
8.1437, 7.3225
8.9728, 7.8633
9.8566, 8.3810
10.896, 8.9346
12.044, 9.4720
13.313, 9.9972
14.809, 10.536
16.576, 11.066
18.555, 11.580
21.031, 12.074
24.289, 12.601
28.765, 13.091
34.555, 13.655
41.032, 14.062
49.602, 14.584
60.610, 15.063
73.598, 15.584
88.811, 16.078
107.17, 16.542
127.71, 17.077
150.30, 17.567
175.77, 18.080
204.28, 18.606
234.46, 19.138
265.75, 19.647
303.11, 20.160
352.27, 20.670
422.44, 21.212
516.18, 21.541
630.73, 21.583
770.70, 21.602
941.73, 21.600
1150.7, 21.592
1406.1, 21.592
1718.1, 21.592
1971.9, 21.638

