!------------------------------------!
Kozul et al. (2016)
Temporal TBL simulation with Re_D ~ 500.
Statistics at Re_theta = 1100, that corresponds to Re_tau ~ 425 (according to G. Boga data).
Streamwise fluctuations RMS.
!------------------------------------!

y^+,     u',rms^+
2.1457,  0.86686
2.4932,  0.99363
2.8123,  1.1068
3.1643,  1.2186
3.4737,  1.3260
3.7886,  1.4337
4.1084,  1.5432
4.4970,  1.6584
4.8764,  1.7716
5.2766,  1.8797
5.7096,  1.9868
6.2272,  2.0994
6.7703,  2.2111
7.3739,  2.3256
8.1431,  2.4396
9.1673,  2.5493
9.7821,  2.6046
10.823,  2.6599
11.949,  2.7093
12.644,  2.7237
13.616,  2.7344
14.663,  2.7289
15.860,  2.7144
17.546,  2.6794
19.898,  2.6237
21.738,  2.5710
25.479,  2.4630
29.394,  2.3558
33.912,  2.2454
39.123,  2.1374
45.494,  2.0297
54.175,  1.9205
67.119,  1.8133
85.830,  1.7128
110.63,  1.6206
124.98,  1.5802
142.58,  1.5472
163.78,  1.5130
180.88,  1.4669
199.32,  1.4080
218.84,  1.3490
237.35,  1.2939
256.50,  1.2417
276.55,  1.1870
293.58,  1.1332
325.18,  1.0217
346.97,  0.91722
372.75,  0.80027
397.28,  0.69007
423.44,  0.57001
447.75,  0.45407
470.25,  0.34459
503.73,  0.22784
524.14,  0.16847
580.95,  0.11299
660.50,  0.066958
744.41,  0.041540
959.26,  0.019670
1236.1,  0.0037580
1592.8, -0.0022918
1941.6,  0.0012655





