!------------------------------------!
Kozul et al. (2016)
Temporal TBL simulation with Re_D ~ 500.
Statistics at Re_theta = 1100, that corresponds to Re_tau ~ 425 (according to G. Boga data).
Vertical fluctuations RMS.
!------------------------------------!

y^+,     v',rms^+
2.1571,  0.050070
2.7782,  0.073792
3.5782,  0.10828
4.5004,  0.14963
5.4410,  0.19292
6.3733,  0.23592
7.2903,  0.27782
8.2084,  0.31832
9.1694,  0.36010
10.243,  0.40489
11.494,  0.45174
12.781,  0.49633
14.034,  0.53847
15.364,  0.58204
16.949,  0.62891
18.682,  0.67704
20.444,  0.72253
22.082,  0.76416
24.252,  0.80946
26.667,  0.85051
29.554,  0.89247
33.276,  0.93613
35.507,  0.95748
38.064,  0.97860
41.222,  1.0005
44.940,  1.0213
50.298,  1.0420
56.077,  1.0610
63.061,  1.0738
67.488,  1.0776
72.225,  1.0794
76.254,  1.0785
81.976,  1.0755
93.021,  1.0695
106.08,  1.0585
119.81,  1.0455
135.43,  1.0279
150.69,  1.0099
165.25,  0.98678
179.32,  0.96478
192.72,  0.94184
205.12,  0.92181
229.13,  0.87801
249.96,  0.82933
266.75,  0.78764
287.69,  0.74187
307.01,  0.69735
327.06,  0.65207
348.42,  0.60680
371.18,  0.56515
395.42,  0.52053
421.24,  0.47402
436.75,  0.42675
455.90,  0.38199
478.05,  0.33060
500.29,  0.27878
522.88,  0.22795
550.21,  0.17763
599.98,  0.12201
641.81,  0.099803
698.75,  0.075334
769.08,  0.055639
865.06,  0.038640
1017.5,  0.026507
1244.6,  0.019357
1603.0,  0.011825
1986.9,  0.0080989



