!------------------------------------!
Kozul et al. (1988)
Based on data from Kim et al. (1987)
Diffusive transport of TKE.
!------------------------------------!

y^+,      difft(k)
0.51482,  0.16577
0.83406,  0.15297
1.4257,  0.13992
2.1446,  0.12156
2.9346,  0.10489
3.5188,  0.087502
3.6907,  0.068190
4.0744,  0.053217
4.3144,  0.033903
4.6299,  0.018932
5.1443,  0.00057739
5.6690,  -0.011743
6.1107,  -0.032751
6.9035,  -0.047731
7.8361,  -0.060784
8.2411,  -0.063206
8.9892,  -0.064428
9.8797,  -0.062032
10.637,  -0.057944
12.087,  -0.047352
13.330,  -0.038205
14.297,  -0.030984
15.260,  -0.025693
17.048,  -0.016798
19.243,  -0.0093596
21.776,  -0.0036175
25.328,  -0.000068052
28.263,  0.0015628
31.604,  0.0012545
35.354,  0.0011794
39.309,  0.00085889
42.241,  0.00055883
45.993,  0.0014492
48.925,  0.0011491
52.948,  0.0010686
55.879,  0.00052716
59.084,  0.00022163
62.562,  0.00087609
67.336,  0.00078053
72.586,  0.00043405
80.086,  -0.00019883
87.655,  -0.00010901
95.361,  -0.000021909
103.41,  -0.00018300
111.18,  -0.00033863
119.36,  -0.00050244
127.96,  -0.00019173
136.28,  0.00036580
144.73,  0.00019652
153.73,  0.00049903
162.26,  0.00081111
170.99,  0.00063637
175.56,  0.00078626




