!------------------------------------!
Mansour et al. (1988)
Based on data from Kim et al. (1987)
Pressure-velocity coupling term of TKE equation,
(1/rho) d/dy <p'v'>, pressure transport.
!------------------------------------!

y^+,      presst(k)
0.16650,  0.00067705
0.85782,  0.0062147
2.0942,  0.011500
3.6642,  0.012434
5.6393,  0.010946
7.6805,  0.0082504
10.469,  0.0038499
13.601,  0.0011322
16.734,  -0.0013442
20.618,  -0.0026288
25.733,  -0.0024898
29.966,  0.00032184
35.559,  0.00093397
41.354,  0.00057658
46.946,  0.00070599
52.674,  0.00059132
59.357,  0.00045753
66.243,  -0.00040443
73.197,  -0.0012678
79.881,  -0.00067746
87.653,  -0.0015572
95.564,  -0.00099144
103.27,  -0.00090435
111.39,  -0.00034272
119.50,  -0.00098789
127.96,  -0.00067445
136.48,  -0.0010865
145.14,  -0.00077711
153.46,  -0.0011850
162.60,  -0.00088523
171.33,  -0.00081861
175.42,  -0.00090052











