!------------------------------------!
Kozul et al. (1988)
Based on data from Kim et al. (1987)
Production of TKE.
!------------------------------------!

y^+,      prod(k)
0.21175,  0.00055546
1.6406,  0.0053542
2.4433,  0.0095621
3.1991,  0.019604
3.4985,  0.028649
3.7956,  0.036287
4.2707,  0.048346
5.0275,  0.058991
5.3859,  0.069242
5.7446,  0.079694
6.1662,  0.093765
6.4701,  0.10543
6.8333,  0.11849
6.9671,  0.13036
7.5572,  0.14322
7.9179,  0.15488
8.4984,  0.16211
8.9715,  0.17296
9.3866,  0.18321
9.9675,  0.19064
10.261,  0.19586
10.610,  0.20108
10.956,  0.20389
11.643,  0.20670
12.439,  0.20728
13.517,  0.20606
14.306,  0.20222
14.810,  0.19798
15.256,  0.19254
15.929,  0.18770
16.547,  0.18306
16.994,  0.17903
17.666,  0.17299
18.111,  0.16734
19.174,  0.15727
19.957,  0.14981
20.850,  0.14034
21.522,  0.13449
22.362,  0.12723
23.197,  0.11716
24.378,  0.10989
25.500,  0.10122
26.622,  0.092752
27.747,  0.086092
29.498,  0.079419
31.358,  0.070532
33.167,  0.065065
35.370,  0.057378
37.633,  0.051097
40.974,  0.044594
44.263,  0.040304
47.437,  0.035413
50.501,  0.032938
54.189,  0.029244
57.310,  0.026566
60.774,  0.025491
64.010,  0.023214
66.565,  0.021956
70.425,  0.019666
72.811,  0.019015
76.048,  0.017944
79.513,  0.016869
82.351,  0.015002
85.020,  0.014144
87.462,  0.013291
90.075,  0.012836
93.313,  0.011766
95.756,  0.011516
98.483,  0.011260
101.95,  0.010185
105.35,  0.0081052
107.68,  0.0080586
111.21,  0.0077869
113.99,  0.0067255
117.00,  0.0064641
119.27,  0.0054129
121.55,  0.0057697
123.59,  0.0057287
126.60,  0.0052662
130.29,  0.0045888
133.08,  0.0035274
135.75,  0.0034739
137.96,  0.0032284
140.98,  0.0029670
143.31,  0.0031215
145.12,  0.0034874
149.05,  0.0042134
152.40,  0.0041463
154.61,  0.0034985
156.94,  0.0036530
159.22,  0.0034064
162.29,  0.0037472
164.62,  0.0039017
167.00,  0.0040550
168.76,  0.0038186
171.66,  0.0037606
173.99,  0.0043174
175.87,  0.0042798









