!------------------------------------!
Mansour et al. (1988)
Based on data from Kim et al. (1987)
Minus rate of (pseudo) dissipation of TKE.

!------------------------------------!

y^+,        - eps_k
-0.010936,  -0.16417
0.74758,  -0.15252
2.0148,  -0.14249
3.3987,  -0.13065
4.4910,  -0.12323
5.8099,  -0.11622
7.0087,  -0.11302
8.0908,  -0.11164
9.4525,  -0.11287
10.814,  -0.11431
13.599,  -0.11376
15.822,  -0.10998
17.362,  -0.10639
21.473,  -0.095211
25.983,  -0.083031
30.320,  -0.072055
35.225,  -0.061694
40.868,  -0.051750
46.678,  -0.043419
52.656,  -0.036700
59.371,  -0.031403
65.572,  -0.027102
72.797,  -0.022420
80.132,  -0.019751
87.638,  -0.017286
95.371,  -0.014223
102.87,  -0.012965
111.00,  -0.011720
119.30,  -0.0094721
127.88,  -0.0090405
136.64,  -0.0082100
144.94,  -0.0069681
153.69,  -0.0065399
162.50,  -0.0057106
171.25,  -0.0052824
175.57,  -0.0057711


