!------------------------------------!
Kozul et al. (1988)
Based on data from Kim et al. (1987)
Turbulent transport of TKE.
!------------------------------------!

y^+,      turbt(k)
0.098310,  0.00067842
1.3984,  0.0033074
2.2220,  0.0064287
2.7786,  0.012935
2.9979,  0.021619
3.5578,  0.030056
4.3185,  0.036316
5.2781,  0.039194
6.1612,  0.037245
6.3543,  0.030483
6.8210,  0.024198
7.3534,  0.016463
7.6809,  0.0084918
8.2778,  -0.0014163
8.8061,  -0.011564
9.4083,  -0.018335
10.279,  -0.027524
10.674,  -0.036221
11.342,  -0.044441
12.080,  -0.051214
13.231,  -0.056306
15.003,  -0.057066
17.192,  -0.052523
18.910,  -0.044834
20.151,  -0.036894
21.115,  -0.031603
22.214,  -0.027039
24.750,  -0.019366
27.490,  -0.011938
30.365,  -0.0057203
33.032,  -0.00094639
38.289,  0.0023275
44.293,  0.0043796
49.545,  0.0049986
55.000,  0.0048894
58.953,  0.0038448
63.453,  0.0035133
68.704,  0.0036495
73.479,  0.0042781
77.773,  0.0032266
85.410,  0.0030737
91.138,  0.0024763
97.753,  0.0030680
105.46,  0.0024310
109.34,  0.0018705
115.28,  0.0022344
121.21,  0.0023570
126.12,  0.0039482
130.08,  0.0026623
134.10,  0.0030644
140.78,  0.0034134
146.92,  0.0030491
152.38,  0.0046295
157.01,  0.0040539
160.70,  0.0044629
165.67,  0.0041219
169.22,  0.0047750
172.29,  0.0047135






