 mean[omega_x],mean[omega_y],mean[omega_z],dU/dy
  -3.0554507805484001E-002 ,  -3.3180120762319933E-024 ,   1.4284279398917028      ,   1.4568664082070848     
  -3.0484581685455099E-002 ,  -4.3368086899420177E-019 ,   1.4285671830432491      ,   1.4536962655947367     
  -3.0287918418993223E-002 ,   4.7704895589362195E-018 ,   1.4282366227828631      ,   1.4505004738080562     
  -2.9968625175289934E-002 ,   8.2399365108898337E-018 ,   1.4271365015969708      ,   1.4468870308309598     
  -2.9532847815830012E-002 ,   1.7347234759768071E-018 ,   1.4247136892771459      ,   1.4422571430908349     
  -2.8982889430899918E-002 ,   7.8062556418956319E-018 ,   1.4205501505829572      ,   1.4361535625962010     
  -2.8320149661244205E-002 ,   4.3368086899420177E-018 ,   1.4142309198831273      ,   1.4281346313941021     
  -2.7545021803572826E-002 ,   1.7347234759768071E-017 ,   1.4054095932764687      ,   1.4178316827193602     
  -2.6658094918027939E-002 ,   2.2551405187698492E-017 ,   1.3937998356749073      ,   1.4049406226004864     
  -2.5661007531559431E-002 ,   1.2143064331837650E-017 ,   1.3791911555314402      ,   1.3892367357869158     
  -2.4557385535264358E-002 ,  -1.5612511283791264E-017 ,   1.3614538520436912      ,   1.3705779339830324     
  -2.3353629671525610E-002 ,   6.9388939039072284E-018 ,   1.3405431110281012      ,   1.3489088651927308     
  -2.2059485371832763E-002 ,   1.9081958235744878E-017 ,   1.3165003366499342      ,   1.3242612713873572     
  -2.0688370927879170E-002 ,   1.7347234759768071E-017 ,   1.2894498392686735      ,   1.2967506623260909     
  -1.9257397562652497E-002 ,  -2.7755575615628914E-017 ,   1.2595934640394604      ,   1.2665703507915202     
  -1.7787112812185778E-002 ,  -1.3877787807814457E-017 ,   1.2272011503938944      ,   1.2339818592397718     
  -1.6300971574106246E-002 ,  -2.4286128663675299E-017 ,   1.1925998921523193      ,   1.1993034801945217     
  -1.4824602069032244E-002 ,   6.5919492087118670E-017 ,   1.1561602068544088      ,   1.1628965739865209     
  -1.3384921840484549E-002 ,  -2.7755575615628914E-017 ,   1.1182820329462460      ,   1.1251513031287974     
  -1.2009184633385449E-002 ,  -3.8163916471489756E-017 ,   1.0793799437180205      ,   1.0864719425814493     
  -1.0724025633440427E-002 ,   4.1633363423443370E-017 ,   1.0398690509088597      ,   1.0472631499967380     
  -9.5545719163276886E-003 ,  -1.0408340855860843E-017 ,   1.0001517906171555      ,   1.0079175713701871     
  -8.5236664650180718E-003 ,  -3.1225022567582528E-017 ,  0.96060646057115495      ,  0.96880579973828207     
  -7.6512409074233224E-003 ,   0.0000000000000000      ,  0.92157767556810954      ,  0.93026913381580645     
  -6.9538535010718614E-003 ,  -3.1225022567582528E-017 ,  0.88336915208835709      ,  0.89261606606327604     
