 mean[omega_x],mean[omega_y],mean[omega_z]
   0.0000000000000000      ,  -1.0630563341013520E-023 ,   0.0000000000000000     
  -2.0667603913004928E-019 ,   1.0083080204115191E-017 ,   8.4703294725430034E-021
   8.2670415652019713E-019 ,   6.2883726004159257E-018 ,  -1.3552527156068805E-019
  -4.6078592330633938E-019 ,  -2.5587171270657905E-017 ,   5.1499603193061461E-019
  -2.5478751053409354E-018 ,   0.0000000000000000      ,   2.1684043449710089E-019
  -9.7578195523695399E-019 ,   4.0766001685454967E-017 ,   0.0000000000000000     
  -4.3368086899420177E-019 ,   6.9388939039072284E-018 ,   3.2526065174565133E-019
  -1.9515639104739080E-018 ,   1.2663481374630692E-016 ,   3.7947076036992655E-019
  -5.5294310796760726E-018 ,  -3.6429192995512949E-017 ,   2.7105054312137611E-019
   1.6479873021779667E-017 ,   8.3266726846886741E-017 ,  -3.7947076036992655E-019
   3.9031278209478160E-018 ,   2.7755575615628914E-017 ,  -8.6736173798840355E-019
  -1.1492543028346347E-017 ,  -1.5612511283791264E-017 ,   1.1926223897340549E-018
   4.1199682554449168E-018 ,   1.7347234759768071E-017 ,   2.6020852139652106E-018
   9.9746599868666408E-018 ,   5.7245874707234634E-017 ,   4.1199682554449168E-018
  -1.8973538018496328E-018 ,  -1.8214596497756474E-017 ,   2.3852447794681098E-018
  -2.7376104855258987E-018 ,  -1.9081958235744878E-017 ,   1.1926223897340549E-018
   3.4694469519536142E-018 ,   1.1275702593849246E-017 ,  -2.1684043449710089E-018
  -6.5052130349130266E-019 ,   1.3877787807814457E-017 ,   9.2157184661267877E-019
  -7.1557343384043293E-018 ,   1.6479873021779667E-017 ,   5.4210108624275222E-019
  -1.3877787807814457E-017 ,   1.5612511283791264E-017 ,   5.4210108624275222E-020
   4.1199682554449168E-018 ,  -3.9031278209478160E-017 ,  -7.5894152073985310E-019
  -1.8431436932253575E-017 ,   1.0842021724855044E-017 ,   2.4936649967166602E-018
  -1.3010426069826053E-017 ,  -4.9439619065339002E-017 ,   2.2768245622195593E-018
   8.4567769453869346E-018 ,   1.5395670849294163E-017 ,  -3.1441863002079629E-018
  -1.9515639104739080E-018 ,  -9.2157184661267877E-018 ,  -1.4094628242311558E-018
  -1.0842021724855044E-018 ,  -5.0347638384795612E-018 ,   1.0299920638612292E-018
   1.0625181290357943E-017 ,   9.3241386833753381E-018 ,   2.1684043449710089E-019
   3.2526065174565133E-018 ,  -3.6320772778264399E-017 ,   4.3368086899420177E-019
   8.9988780316296868E-018 ,   1.4311468676808659E-017 ,  -6.5052130349130266E-019
   1.1926223897340549E-018 ,  -1.7347234759768071E-018 ,   4.9873299934333204E-018
   2.1684043449710089E-019 ,  -6.9388939039072284E-018 ,   1.3010426069826053E-018
  -1.4094628242311558E-018 ,  -3.4694469519536142E-018 ,   3.0357660829594124E-018
   2.0599841277224584E-018 ,  -1.7347234759768071E-017 ,   2.8189256484623115E-018
  -3.6862873864507151E-018 ,   1.1926223897340549E-017 ,   9.7578195523695399E-019
   3.0899761915836876E-018 ,  -4.0115480381963664E-018 ,   4.8789097761847700E-019
   4.1199682554449168E-018 ,   1.2576745200831851E-017 ,  -9.7578195523695399E-019
